axis,option,algorithm,n_runs,mean_test_return,std_test_return,mean_test_sharpe,std_test_sharpe,mean_test_mdd
encoder,LSTM,PPO,200,-0.041491418895186295,0.5866684496842255,-0.2246703728664379,1.5719140356047137,0.5537171031626069
encoder,LSTM,A2C,200,-0.08915582047883865,0.6143891872344335,-0.23908584383115225,1.308835240745078,0.5592568757623337
encoder,LSTM,RecurrentPPO,200,-0.14811016609669544,0.6141290583932904,-0.7001912138397214,2.0265910784752834,0.5857475240386424
encoder,MLP,PPO,200,-0.0988507750964846,0.6569779539333809,-1.0731542827544676,3.1457233823910875,0.5957957805731464
encoder,MLP,A2C,200,-0.21176227405244374,0.6108975999277843,-0.7549320964654922,1.7318297098584072,0.5962391161946642
encoder,MLP,RecurrentPPO,200,-0.39351940240158245,0.5620945895148447,-2.0570219043006603,3.004454312045527,0.6654613097563589
leverage,L=1,PPO,200,-0.1525910813591586,0.49070154147167894,-1.141466241657809,2.911045395985414,0.4873220055907011
leverage,L=1,A2C,200,-0.145382152324922,0.46678222201543207,-0.585651222945077,1.591496658268701,0.4663898529817962
leverage,L=1,RecurrentPPO,200,-0.2277866466363836,0.47179372349088117,-1.2093322101840722,2.2282152702162024,0.5093418707287857
leverage,L=3+liq,PPO,200,0.012248887367487731,0.7231948796197489,-0.15635841396309658,1.9407262466878399,0.6621908781450523
leverage,L=3+liq,A2C,200,-0.15553594220636038,0.735041794977502,-0.40836671735156743,1.5156997114490485,0.6891061389752017
leverage,L=3+liq,RecurrentPPO,200,-0.3138429218618943,0.7050235665376017,-1.5478809079563092,3.006060311584006,0.7418669630662157
reward,diff_sharpe,PPO,200,-0.13079809964645028,0.5951026801384353,-0.8646321784142538,2.8233883667305557,0.5868105860096077
reward,diff_sharpe,A2C,200,-0.24074465391044592,0.6014968824005933,-0.8177896235063967,1.6986010175919946,0.6022059466414528
reward,diff_sharpe,RecurrentPPO,200,-0.3807923774994722,0.5704925116756021,-2.1899064206503867,3.115546005649594,0.6612539115199243
reward,log_penalty,PPO,200,-0.009544094345220622,0.6449169003872297,-0.43319247720665194,2.1594446038058686,0.5627022977261457
reward,log_penalty,A2C,200,-0.06017344062083648,0.6164742381635532,-0.17622831679024775,1.3243568441405078,0.5532900453155452
reward,log_penalty,RecurrentPPO,200,-0.16083719099880572,0.6112246632615684,-0.5673066974899952,1.74048282987888,0.5899549222750771
episode,sequential,PPO,200,0.035393474746724295,0.6154214670678743,-0.3267078709391621,2.3222475803573395,0.5457539769963327
episode,sequential,A2C,200,-0.13270804709282888,0.6211201504857704,-0.4973243438566061,1.6624359496399461,0.5663448626291422
episode,sequential,RecurrentPPO,200,-0.16313831457595052,0.62478296733642,-1.2018103893455239,2.76085030867573,0.6004822057782638
episode,random_subs,PPO,200,-0.1757356687383952,0.61344101405855,-0.9711167846817435,2.6695977301173937,0.6037589067394207
episode,random_subs,A2C,200,-0.1682100474384535,0.6097542847359531,-0.49669359644003824,1.4430203079961845,0.5891511293278557
episode,random_subs,RecurrentPPO,200,-0.37849125392232735,0.5565161902697953,-1.5554027287948577,2.5246415860277853,0.6507266280167374
