cell_id,encoder,leverage,reward,episode,algorithm,architecture,target,config_name,test_return_mean,test_return_std,test_sharpe_mean,test_sharpe_std,test_mdd_mean,test_turnover_mean,test_n_liq_mean,seeds_completed
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,A2C,asset,BTCUSDT,a2c_sb3_default,-0.0783045886487749,0.3332761117746573,-0.2201024391136351,1.1871122027196883,0.4050163527759163,0.0001753155680224,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,A2C,asset,ETHUSDT,a2c_sb3_default,-0.2914156425035238,0.4212336636986162,-0.739527372352079,1.0988711903870079,0.5619683071420857,0.0001753155680224,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,A2C,asset,SOLUSDT,a2c_sb3_default,-0.11304610167448732,0.7474066002796187,-0.6294129176639974,2.0503373680123977,0.5504662433262091,0.04484290538400114,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,A2C,asset,XRPUSDT,a2c_sb3_default,-0.0895895343905786,0.5765923981306126,-0.2713397226388496,1.4734701731659567,0.5102893281632925,0.0001753155680224,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,A2C,portfolio,ALL,a2c_sb3_default,-0.0804069227868703,0.2586378908239338,-0.2934089106248348,1.4233802778211893,0.260436843253731,0.0001753155680224,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,BTCUSDT,ppo_canonical,-0.20671156452268327,0.19346760841186547,-0.6563578169244899,0.7861206513542409,0.410978473911295,0.01806561463443248,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,ETHUSDT,ppo_short_rollout,0.1378606773696923,0.574052349324894,0.3220064176690273,1.4272188845613107,0.43901416523023773,0.00034834981842424,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,SOLUSDT,ppo_canonical,-0.4751302522276305,0.29198453655168505,-1.7510394243979366,1.4049499304725028,0.6048185731965318,0.058640373635466904,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,XRPUSDT,ppo_short_rollout,-0.1056599866358378,0.5556791789705091,-0.2944454693876602,1.4442704520541207,0.5102893292184623,0.0009633155800872,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,portfolio,ALL,ppo_short_rollout,0.04534898754302341,0.35945441347755336,-0.2229606231303895,1.431680843637093,0.28005120722742255,0.01222593345300374,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,RecurrentPPO,asset,BTCUSDT,rppo_short_rollout,-0.13495177244685697,0.40242450790648493,-0.6023127785657597,1.724448196760471,0.43440341900041074,0.011658823988459141,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,RecurrentPPO,asset,ETHUSDT,rppo_canonical,0.03779652658755424,0.5314117858976908,0.05331329418370427,1.5311823314327881,0.447833455937134,0.019685540764316938,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,RecurrentPPO,asset,SOLUSDT,rppo_short_rollout,0.24613427979608665,0.6050365494797806,0.5337644867945217,1.3577127144470498,0.37427259399424373,0.015336111861935462,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,RecurrentPPO,asset,XRPUSDT,rppo_short_rollout,0.11949171665431887,0.5777043381052375,0.2608233478080725,1.4802584437114115,0.44693252989908866,0.00026687890249410003,0.0,5
E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,RecurrentPPO,portfolio,ALL,rppo_canonical,-0.2799098503264425,0.33835642536887645,-2.4778348321381345,2.8624350613687923,0.39758985559915244,0.06286306038579204,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,A2C,asset,BTCUSDT,a2c_sb3_default,-0.0783045886487749,0.3332761117746573,-0.2201024391136351,1.1871122027196883,0.4050163527759162,0.0001753155680224,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,A2C,asset,ETHUSDT,a2c_sb3_default,-0.2914156425035238,0.42123366369861615,-0.739527372352079,1.0988711903870079,0.5619683071420857,0.0001753155680224,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,A2C,asset,SOLUSDT,a2c_sb3_default,-0.06829674294777215,0.7009533959311235,-0.30120523701699237,1.6381835828765288,0.5276605563209726,0.0001753155680224,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,A2C,asset,XRPUSDT,a2c_sb3_default,-0.0895895343905786,0.5765923981306126,-0.2713397226388496,1.4734701731659567,0.5102893281632925,0.0001753155680224,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,A2C,portfolio,ALL,a2c_sb3_default,-0.2242501403934974,0.19341703837301732,-0.951414516691063,0.6956103653210622,0.3301256310808319,0.0001753155680224,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,PPO,asset,BTCUSDT,ppo_short_rollout,-0.0783045886487749,0.3332761117746573,-0.2201024391136351,1.1871122027196883,0.4050163527759162,0.0001753155680224,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,PPO,asset,ETHUSDT,ppo_short_rollout,0.05344460652072476,0.4787894621206631,0.11196789570565073,1.5876776582683991,0.48360864647956026,0.006775864192022041,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,PPO,asset,SOLUSDT,ppo_short_rollout,-0.22314766385947324,0.5624693530261635,-0.5719388142114125,1.377527656971499,0.572683001801809,0.00082242611748636,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,PPO,asset,XRPUSDT,ppo_short_rollout,-0.08449736671374226,0.5836345599869011,-0.2631198157535008,1.4847968487360452,0.5116858789030161,0.00047352977964348,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,PPO,portfolio,ALL,ppo_short_rollout,-0.2655963106648156,0.17861563052581084,-1.519181174609971,0.7844323738480772,0.3392837568005324,0.022783217800807297,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,RecurrentPPO,asset,BTCUSDT,rppo_short_rollout,-0.38662585336851935,0.06693951481571948,-1.4731065444964933,0.38660080040205447,0.48967879900008826,0.03258817942047598,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,RecurrentPPO,asset,ETHUSDT,rppo_short_rollout,-0.29492520770417757,0.4233938695763392,-0.7597727448268434,1.111247943008589,0.5611789621820154,0.00175406357997092,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,RecurrentPPO,asset,SOLUSDT,rppo_short_rollout,0.029095721146114206,0.6443171991441418,0.014165236362099699,1.4964692977248635,0.4692162956101729,0.005617603337291581,0.0,5
