calc_time,funding_interval_hours,last_funding_rate
1640995200000,8,0.0001
1641024000000,8,0.0001
1641052800000,8,0.0001
1641081600000,8,0.0001
1641110400000,8,0.0001
1641139200000,8,0.0001
1641168000000,8,0.0001
1641196800000,8,0.0001
1641225600000,8,0.0001
1641254400000,8,0.0001
1641283200000,8,0.0001
1641312000000,8,0.0001
1641340800000,8,0.0001
1641369600000,8,0.0001
1641398400000,8,0.0001
1641427200000,8,0.0001
1641456000000,8,0.0001
1641484800000,8,0.0001
1641513600000,8,0.0001
1641542400000,8,0.0001
1641571200000,8,0.0001
1641600000000,8,0.0001
1641628800000,8,0.0001
1641657600000,8,0.0001
1641686400000,8,0.0001
1641715200000,8,0.0001
1641744000000,8,0.0001
1641772800000,8,0.0001
1641801600000,8,4.522e-05
1641830400000,8,0.0001
1641859200000,8,0.0001
1641888000000,8,7.394e-05
1641916800000,8,0.0001
1641945600000,8,-4.772e-05
1641974400000,8,9.625e-05
1642003200000,8,-5.342e-05
1642032000000,8,-7.506e-05
1642060800000,8,0.0001
1642089600000,8,-6.081e-05
1642118400000,8,5.92e-06
1642147200000,8,-9.17e-05
1642176000000,8,-6.655e-05
1642204800000,8,2.282e-05
1642233600000,8,0.0001
1642262400000,8,2.661e-05
1642291200000,8,9.07e-05
1642320000000,8,-2.33e-05
1642348800000,8,3.62e-05
1642377600000,8,1.751e-05
1642406400000,8,6.647e-05
1642435200000,8,0.0001
1642464000000,8,0.0001
1642492800000,8,9.998e-05
1642521600000,8,0.0001
1642550400000,8,4.973e-05
1642579200000,8,0.0001
1642608000000,8,0.0001
1642636800000,8,0.0001
1642665600000,8,0.0001
1642694400000,8,0.0001
1642723200000,8,0.0001
1642752000000,8,4.523e-05
1642780800000,8,8.226e-05
1642809600000,8,-1.051e-05
1642838400000,8,4.122e-05
1642867200000,8,0.0001
1642896000000,8,0.0001
1642924800000,8,-1.256e-05
1642953600000,8,-1.573e-05
1642982400000,8,3.48e-05
1643011200000,8,5.605e-05
1643040000000,8,5.009e-05
1643068800000,8,0.0001
1643097600000,8,8.126e-05
1643126400000,8,-0.00010008
1643155200000,8,6.76e-06
