calc_time,funding_interval_hours,last_funding_rate
1640995200000,8,0.0001
1641024000000,8,0.0001
1641052800000,8,0.0001
1641081600000,8,3.876e-05
1641110400000,8,2.263e-05
1641139200000,8,6.714e-05
1641168000000,8,6.973e-05
1641196800000,8,5.084e-05
1641225600000,8,7.394e-05
1641254400000,8,0.0001
1641283200000,8,0.0001
1641312000000,8,0.0001
1641340800000,8,0.0001
1641369600000,8,0.0001
1641398400000,8,0.0001
1641427200000,8,5.376e-05
1641456000000,8,0.0001
1641484800000,8,4.332e-05
1641513600000,8,1.935e-05
1641542400000,8,0.0001
1641571200000,8,0.0001
1641600000000,8,0.0001
1641628800000,8,0.0001
1641657600000,8,0.0001
1641686400000,8,0.0001
1641715200000,8,-7.234e-05
1641744000000,8,5.47e-05
1641772800000,8,-0.00014593
1641801600000,8,-6.361e-05
1641830400000,8,1.599e-05
1641859200000,8,0.0001
1641888000000,8,6.198e-05
1641916800000,8,2.718e-05
1641945600000,8,-6.878e-05
1641974400000,8,8.036e-05
1642003200000,8,-0.00019812
1642032000000,8,-2.315e-05
1642060800000,8,0.0001
1642089600000,8,-1.444e-05
1642118400000,8,0.0001
1642147200000,8,0.0001
1642176000000,8,-1.294e-05
1642204800000,8,9.632e-05
1642233600000,8,0.0001
1642262400000,8,0.0001
1642291200000,8,2.224e-05
1642320000000,8,9.785e-05
1642348800000,8,8.585e-05
1642377600000,8,2.683e-05
1642406400000,8,4.25e-05
1642435200000,8,-5.944e-05
1642464000000,8,7.549e-05
1642492800000,8,3.626e-05
1642521600000,8,0.0001
1642550400000,8,0.0001
1642579200000,8,-1.72e-05
1642608000000,8,0.0001
1642636800000,8,0.0001
1642665600000,8,0.0001
1642694400000,8,0.0001
1642723200000,8,-8.05e-06
1642752000000,8,-5.915e-05
1642780800000,8,8.447e-05
1642809600000,8,7.145e-05
1642838400000,8,0.0001
1642867200000,8,9.327e-05
1642896000000,8,0.0001
1642924800000,8,-5.208e-05
1642953600000,8,-0.0001332
1642982400000,8,0.0001
1643011200000,8,-0.00011775
1643040000000,8,0.0001
1643068800000,8,1.695e-05
1643097600000,8,5.831e-05
