calc_time,funding_interval_hours,last_funding_rate
1640995200000,8,0.0001
1641024000000,8,0.0001
1641052800000,8,0.0001
1641081600000,8,0.0001
1641110400000,8,0.0001
1641139200000,8,0.0001
1641168000000,8,0.0001
1641196800000,8,0.0001
1641225600000,8,0.0001
1641254400000,8,0.0001
1641283200000,8,0.0001
1641312000000,8,0.0001
1641340800000,8,0.0001
1641369600000,8,0.0001
1641398400000,8,0.0001
1641427200000,8,4.587e-05
1641456000000,8,1.015e-05
1641484800000,8,0.0001
1641513600000,8,9.487e-05
1641542400000,8,0.0001
1641571200000,8,0.0001
1641600000000,8,0.0001
1641628800000,8,0.0001
1641657600000,8,0.0001
1641686400000,8,0.0001
1641715200000,8,0.0001
1641744000000,8,0.0001
1641772800000,8,0.0001
1641801600000,8,9.766e-05
1641830400000,8,3.203e-05
1641859200000,8,4.216e-05
1641888000000,8,9.252e-05
1641916800000,8,0.0001
1641945600000,8,4.367e-05
1641974400000,8,0.0001
1642003200000,8,0.0001
1642032000000,8,9.336e-05
1642060800000,8,0.0001
1642089600000,8,0.0001
1642118400000,8,0.0001
1642147200000,8,0.0001
1642176000000,8,0.0001
1642204800000,8,0.0001
1642233600000,8,0.0001
1642262400000,8,0.0001
1642291200000,8,0.0001
1642320000000,8,0.0001
1642348800000,8,0.0001
1642377600000,8,0.0001
1642406400000,8,9.406e-05
1642435200000,8,0.0001
1642464000000,8,0.0001
1642492800000,8,0.0001
1642521600000,8,0.0001
1642550400000,8,0.0001
1642579200000,8,1.727e-05
1642608000000,8,9.765e-05
1642636800000,8,0.0001
1642665600000,8,0.0001
1642694400000,8,0.0001
1642723200000,8,6.294e-05
1642752000000,8,2.167e-05
1642780800000,8,2.718e-05
1642809600000,8,-5.943e-05
1642838400000,8,8.059e-05
1642867200000,8,-8.699e-05
1642896000000,8,0.0001
1642924800000,8,3.504e-05
1642953600000,8,-7.842e-05
1642982400000,8,0.0001
1643011200000,8,-0.00010264
1643040000000,8,0.0001
1643068800000,8,-1.108e-05
1643097600000,8,5.75e-06
1643126400000,8,1.569e-05
1643155200000,8,-9.096e-05
1643184000000,8,0.0001
1643212800000,8,2.806e-05
